"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Sobic.001G434600",24.7492298587752,0.565196469586433,0.48740240156707,1.1596095295576,0.246207819328201,0.695565051871532
"Sobic.001G487200",69.0939198939106,0.392604898342699,0.338595767551987,1.15950917278498,0.246248699750089,0.695565051871532
"Sobic.006G096400",28.8015989925709,0.640733095245612,0.552633361108116,1.15941805243325,0.246285821828283,0.695565051871532
"Sobic.007G103600",77.0401929466507,-0.329430101305674,0.284156386308492,-1.15932675519047,0.246323019904661,0.695565051871532
"Sobic.007G223600",2761.97758295425,0.578406440451147,0.498925146796866,1.15930504638733,0.246331865501663,0.695565051871532
"Sobic.009G080000",62.1986993311032,0.359303411789011,0.309857919958852,1.15957472326906,0.2462219971624,0.695565051871532
"Sobic.010G092200",12.3300077974022,0.714669666403168,0.615908736969272,1.16034994067445,0.245906359201537,0.695565051871532
"Sobic.010G245800",61.9271696208616,0.520821616928707,0.449118984578113,1.15965175112325,0.246190621757054,0.695565051871532
"Sobic.001G163300",7.72588748113617,0.878814722983471,0.758403511822505,1.15876932171847,0.246550225573533,0.696045127021122
"Sobic.001G122900",9.51367691192569,-0.858781235143957,0.741367362387573,-1.15837475280575,0.24671113761277,0.696131610002127
"Sobic.001G251200",705.037155457992,-0.238135865969001,0.205603376827695,-1.15822935227649,0.24677045301642,0.696131610002127
"Sobic.002G057900",486.362312280354,0.24611447346267,0.212493711815516,1.15822003088893,0.246774255969639,0.696131610002127
"Sobic.008G112000",30.2716814906117,0.455593116376722,0.393291006649323,1.15841224099729,0.246695846116239,0.696131610002127
"Sobic.001G373800",298.543233171634,-0.306837248581876,0.265084215084765,-1.15750856188763,0.247064643295596,0.69613658027765
"Sobic.003G342900",15.1642140868074,-0.773540373787705,0.667951232376971,-1.15807911759513,0.246831750981457,0.69613658027765
"Sobic.004G331600",140.855847206439,-0.511819710390837,0.442014643649332,-1.15792478313656,0.24689473282238,0.69613658027765
"Sobic.007G178300",57.5151677138182,0.66281808951019,0.572540147512386,1.15767967083191,0.246994783030549,0.69613658027765
"Sobic.010G024100",7.59501731757977,-0.924739988903343,0.798908015923938,-1.15750495735592,0.247066115100624,0.69613658027765
"Sobic.010G180100",129.889126279066,-0.459567723173495,0.396999466974556,-1.1576028720536,0.247026136681664,0.69613658027765
"Sobic.003G187000",22.1989939503628,-0.651995423436066,0.563375312664788,-1.15730208402655,0.247148962386526,0.696167924709049
"Sobic.004G119500",27.2549051479305,-0.445104536745696,0.384691772870185,-1.15704199604991,0.24725520284792,0.696167924709049
"Sobic.004G333100",178.112091598043,0.268347412621606,0.231932964254663,1.15700419508699,0.24727064640659,0.696167924709049
"Sobic.009G149900",428.79860056337,-0.404058197666692,0.34918524499362,-1.15714567972102,0.247212846419055,0.696167924709049
"Sobic.002G148400",237.084065090064,-0.344546021236054,0.297946976447229,-1.1564004620704,0.24751739268326,0.696726377292976
"Sobic.003G227200",178.45046209336,0.273064543488028,0.236232221955491,1.15591573929943,0.247715624075299,0.697011834167707
"Sobic.007G026100",69.845279667933,0.450803340644918,0.389993093851711,1.15592647088343,0.247711234102566,0.697011834167707
"Sobic.001G440000",87.2397697754866,-0.302479534795696,0.261842999409076,-1.15519427854985,0.248010877171255,0.697107146870135
"Sobic.001G440700",282.860644110444,0.270877129491258,0.234607304567089,1.15459802068438,0.248255077602536,0.697107146870135
"Sobic.001G462200",278.281031310082,-0.217914545561454,0.188788693825555,-1.15427752131604,0.248386409235127,0.697107146870135
"Sobic.002G179100",78.5870750154438,0.305238678523306,0.264329155270911,1.15476735137472,0.248185710262951,0.697107146870135
"Sobic.002G303700",33.6529668367766,-0.50397508623617,0.436462093307449,-1.15468237440076,0.248220519898017,0.697107146870135
"Sobic.002G421600",44.3642984348613,0.476878956493312,0.412887455585004,1.15498533569551,0.248096431637655,0.697107146870135
"Sobic.003G310900",142.014002131182,-0.340398183088823,0.294694044370995,-1.15509013361767,0.248053518135663,0.697107146870135
"Sobic.003G430900",40.8879217520317,0.46484383538696,0.40274894163794,1.15417767082512,0.248427335087558,0.697107146870135
"Sobic.004G031800",404.962943155901,-0.226510995565652,0.196011574618527,-1.15560010171074,0.247844766407632,0.697107146870135
"Sobic.004G173500",268.481842179276,-0.262827519721797,0.227663364925854,-1.15445679987817,0.248312939931132,0.697107146870135
"Sobic.005G122800",61.4151912243285,0.60697520660455,0.525347559129424,1.15537837010301,0.247935515515021,0.697107146870135
"Sobic.008G125000",60.3282638786622,0.359926940511644,0.311686504863479,1.15477229490348,0.248183685320308,0.697107146870135
"Sobic.009G079400",12.992463774427,0.658603849777688,0.57051333091535,1.15440571514955,0.248333873174411,0.697107146870135
"Sobic.009G133700",13.5196831414797,-0.776013011409626,0.671932310581581,-1.15489759785172,0.248132363235531,0.697107146870135
"Sobic.001G253600",61.0870194100554,-0.366785005150656,0.317854235486701,-1.15394090813052,0.248524396177862,0.697243619674369
"Sobic.007G172900",31.9613640008269,-0.494246630448528,0.428423349384556,-1.15364074147343,0.248647487908992,0.697317205086418
"Sobic.010G073600",69.4155462501509,0.334643775162722,0.290054614357199,1.15372677626363,0.248612202579182,0.697317205086418
"Sobic.002G431100",3368.88476634092,-0.244850863660899,0.212388710053553,-1.15284312240119,0.248974781077724,0.697902790990144
"Sobic.003G398500",28.8202104635077,-0.556691723232934,0.482913407565278,-1.15277752597433,0.249001711162409,0.697902790990144
"Sobic.010G151000",36.4808553623401,-0.455356996441344,0.395003901359775,-1.15279113667943,0.248996123229624,0.697902790990144
"Sobic.001G390400",13.4773848031534,-0.84583136253189,0.733930419288204,-1.15246805460416,0.249128789608902,0.69801609070323
"Sobic.002G380100",25.4156653365094,-0.47187364874971,0.409455100115659,-1.15244296289488,0.249139095021801,0.69801609070323
"Sobic.001G058700",500.428190395611,-0.238889782853678,0.207319622480785,-1.15227772458355,0.249206967471891,0.698070411996166
"Sobic.004G166900",116.755755657307,-0.360848037768841,0.313271671130483,-1.15186935501277,0.249374762724927,0.69840455820142
"Sobic.001G405600",130.209074137179,-0.378393327219234,0.328682989614662,-1.15124098044396,0.249633110188367,0.698448799162866
"Sobic.003G179000",709.628933255607,0.332557157142719,0.288863339444594,1.15126120809285,0.249624790959785,0.698448799162866
"Sobic.004G047600",498.659429316417,0.575599416736548,0.499777187579837,1.15171206497815,0.249439412794618,0.698448799162866
"Sobic.004G343500",13.5769405003487,-0.721446416855304,0.626655900903423,-1.15126406025257,0.24962361793896,0.698448799162866
"Sobic.010G149600",87.246515222656,-0.327652139064779,0.284574679785671,-1.15137488448217,0.249578041731552,0.698448799162866
"Sobic.007G011300",204.546086059403,-0.296380881437188,0.25751102734843,-1.15094442552227,0.249755099554457,0.698654346878777
"Sobic.006G123700",21.1733476555811,0.789263143350541,0.686007033638596,1.15051756709297,0.249930763039472,0.699009931282503
"Sobic.002G387200",64.4040755614954,-0.347777309418364,0.302321176473647,-1.1503570920004,0.249996825083874,0.699058902225213
"Sobic.001G508466",9.72632482290791,-0.75206153444969,0.654034394299209,-1.14988071117501,0.250193006435378,0.699471632360499
"Sobic.003G234500",16.4408226725956,0.845460788704138,0.735375948182307,1.14969872320945,0.250267980407318,0.699545405145517
"Sobic.003G405900",219.872848751609,0.252351822483003,0.219575553519259,1.14927102966801,0.250444239992401,0.699902206407334
"Sobic.006G038200",53.810328825314,0.416228230336316,0.362418462009547,1.14847413685385,0.250772883872319,0.70054869654514
"Sobic.008G111600",546.43652173577,-0.257514206591933,0.224207935343333,-1.14855081376847,0.250741248721355,0.70054869654514
"Sobic.003G359600",205.198731515886,-0.302872634929792,0.26377446981392,-1.14822573671915,0.250875387250085,0.700699093235059
"Sobic.006G035600",201.082782990558,-0.540692423740626,0.470953330475595,-1.14808068815355,0.250935255682987,0.700730374577898
"Sobic.001G155000",660.386623612006,-0.261038790880062,0.227484901603469,-1.14749941222509,0.25117527591412,0.70083540344396
"Sobic.004G117800",210.383580104837,0.2425553495993,0.211395591020928,1.14740022924739,0.251216246504673,0.70083540344396
"Sobic.005G110526",182.301913291832,0.323903947875396,0.282265178809685,1.147516492262,0.251168220948257,0.70083540344396
"Sobic.005G112300",348.891112195467,-0.259246759960729,0.225928218061033,-1.14747401712652,0.251185765699397,0.70083540344396
"Sobic.009G129300",67.8180713970612,-0.331391174979019,0.288740696646164,-1.14771204346411,0.251087457729985,0.70083540344396
"Sobic.007G189100",317.879063568052,-0.274536834594169,0.239353684752615,-1.14699230503979,0.251384801217674,0.701169772943059
"Sobic.002G217700",50.5551621682674,-0.356379152589252,0.310754987056774,-1.14681716282205,0.251457194371181,0.701181717271774
